Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-10-10,31.12
30-10-10,32.04
29-10-10,28.31
28-10-10,20.79
27-10-10,17.37
26-10-10,13.27
25-10-10,11.66
24-10-10,5.44
23-10-10,25.77
22-10-10,11.13
21-10-10,8.56
20-10-10,10.01
19-10-10,24.36
18-10-10,29.32
17-10-10,20.34
16-10-10,15.57
15-10-10,14.48
14-10-10,28.44
13-10-10,30.08
12-10-10,39.31
11-10-10,32.02
10-10-10,27.60
09-10-10,21.77
08-10-10,14.86
07-10-10,15.52
06-10-10,9.24
05-10-10,15.24
04-10-10,17.21
03-10-10,17.76
02-10-10,20.61
01-10-10,15.99

