Datum Zeit,Freiberg PM10
,µg/m³
30-09-15,15
29-09-15,14
28-09-15,12
27-09-15,13
26-09-15,18
25-09-15,17
24-09-15,8
23-09-15,8
22-09-15,13
21-09-15,14
20-09-15,5
19-09-15,8
18-09-15,11
17-09-15,10
16-09-15,13
15-09-15,7
14-09-15,15
13-09-15,18
12-09-15,16
11-09-15,19
10-09-15,13
09-09-15,9
08-09-15,10
07-09-15,8
06-09-15,6
05-09-15,6
04-09-15,10
03-09-15,8
02-09-15,8
01-09-15,18

