Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-09-15,10.71
29-09-15,8.54
28-09-15,8.67
27-09-15,8.38
26-09-15,11.45
25-09-15,14.61
24-09-15,10.44
23-09-15,7.58
22-09-15,9.81
21-09-15,19.01
20-09-15,6.94
19-09-15,9.39
18-09-15,8.33
17-09-15,6.81
16-09-15,9.28
15-09-15,7.19
14-09-15,14.01
13-09-15,13.97
12-09-15,13.74
11-09-15,15.17
10-09-15,8.01
09-09-15,5.20
08-09-15,7.55
07-09-15,5.90
06-09-15,3.81
05-09-15,4.75
04-09-15,11.50
03-09-15,10.73
02-09-15,7.49
01-09-15,13.03

