Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-09-15,14.34
29-09-15,11.72
28-09-15,11.35
27-09-15,8.23
26-09-15,11.92
25-09-15,13.07
24-09-15,11.22
23-09-15,10.54
22-09-15,12.00
21-09-15,15.41
20-09-15,6.92
19-09-15,8.32
18-09-15,9.33
17-09-15,9.68
16-09-15,10.67
15-09-15,8.82
14-09-15,20.10
13-09-15,13.76
12-09-15,16.83
11-09-15,16.34
10-09-15,13.83
09-09-15,7.96
08-09-15,7.88
07-09-15,5.82
06-09-15,4.02
05-09-15,5.02
04-09-15,10.10
03-09-15,9.20
02-09-15,9.53
01-09-15,18.60

