Datum Zeit,Leipzig-Luetzner Straße NO
,µg/m³
01-10-15 00:00,14
30-09-15 23:00,13
30-09-15 22:00,26
30-09-15 21:00,39
30-09-15 20:00,72
30-09-15 19:00,105
30-09-15 18:00,91
30-09-15 17:00,67
30-09-15 16:00,93
30-09-15 15:00,74
30-09-15 14:00,60
30-09-15 13:00,74
30-09-15 12:00,65
30-09-15 11:00,81
30-09-15 10:00,93
30-09-15 09:00,177
30-09-15 08:00,155
30-09-15 07:00,247
30-09-15 06:00,97
30-09-15 05:00,32
30-09-15 04:00,23
30-09-15 03:00,10
30-09-15 02:00,5
30-09-15 01:00,7
30-09-15 00:00,14
29-09-15 23:00,15
29-09-15 22:00,34
29-09-15 21:00,31
29-09-15 20:00,38
29-09-15 19:00,68
29-09-15 18:00,68
29-09-15 17:00,87
29-09-15 16:00,90
29-09-15 15:00,93
29-09-15 14:00,63
29-09-15 13:00,86
29-09-15 12:00,58
29-09-15 11:00,70
29-09-15 10:00,79
29-09-15 09:00,111
29-09-15 08:00,132
29-09-15 07:00,170
29-09-15 06:00,101
29-09-15 05:00,34
29-09-15 04:00,20
29-09-15 03:00,14
29-09-15 02:00,8
29-09-15 01:00,5
29-09-15 00:00,13
28-09-15 23:00,20
28-09-15 22:00,37
28-09-15 21:00,26
28-09-15 20:00,29
28-09-15 19:00,55
28-09-15 18:00,79
28-09-15 17:00,95
28-09-15 16:00,86
28-09-15 15:00,
28-09-15 14:00,
28-09-15 13:00,
28-09-15 12:00,
28-09-15 11:00,111
28-09-15 10:00,125
28-09-15 09:00,133
28-09-15 08:00,222
28-09-15 07:00,232
28-09-15 06:00,137
28-09-15 05:00,82
28-09-15 04:00,61
28-09-15 03:00,18
28-09-15 02:00,12
28-09-15 01:00,18
28-09-15 00:00,20
27-09-15 23:00,45
27-09-15 22:00,60
27-09-15 21:00,59
27-09-15 20:00,78
27-09-15 19:00,45
27-09-15 18:00,66
27-09-15 17:00,28
27-09-15 16:00,19
27-09-15 15:00,26
27-09-15 14:00,31
27-09-15 13:00,22
