Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-09-15,10.09
29-09-15,8.82
28-09-15,9.22
27-09-15,8.36
26-09-15,12.39
25-09-15,11.79
24-09-15,8.07
23-09-15,8.16
22-09-15,9.92
21-09-15,13.65
20-09-15,6.64
19-09-15,8.99
18-09-15,7.86
17-09-15,7.96
16-09-15,9.48
15-09-15,5.66
14-09-15,18.94
13-09-15,12.21
12-09-15,14.32
11-09-15,15.80
10-09-15,8.18
09-09-15,5.05
08-09-15,6.64
07-09-15,4.92
06-09-15,3.52
05-09-15,4.94
04-09-15,8.15
03-09-15,7.53
02-09-15,7.45
01-09-15,15.38

