Datum Zeit,Dresden-Nord PM10
,µg/m³
30-09-15,20
29-09-15,18
28-09-15,18
27-09-15,16
26-09-15,21
25-09-15,21
24-09-15,16
23-09-15,15
22-09-15,18
21-09-15,19
20-09-15,9
19-09-15,15
18-09-15,13
17-09-15,16
16-09-15,18
15-09-15,12
14-09-15,26
13-09-15,19
12-09-15,20
11-09-15,24
10-09-15,13
09-09-15,10
08-09-15,15
07-09-15,12
06-09-15,9
05-09-15,9
04-09-15,14
03-09-15,11
02-09-15,13
01-09-15,28

