Datum Zeit,Dresden-Nord PM10
,µg/m³
31-08-07,27
30-08-07,22
29-08-07,20
28-08-07,23
27-08-07,22
26-08-07,31
25-08-07,27
24-08-07,23
23-08-07,26
22-08-07,17
21-08-07,19
20-08-07,18
19-08-07,20
18-08-07,20
17-08-07,23
16-08-07,23
15-08-07,27
14-08-07,23
13-08-07,25
12-08-07,19
11-08-07,19
10-08-07,39
09-08-07,39
08-08-07,41
07-08-07,37
06-08-07,23
05-08-07,20
04-08-07,25
03-08-07,31
02-08-07,22
01-08-07,

