Datum Zeit,Chemnitz-Leipziger Str. PM10
,µg/m³
31-08-07,28
30-08-07,28
29-08-07,19
28-08-07,27
27-08-07,21
26-08-07,37
25-08-07,27
24-08-07,32
23-08-07,25
22-08-07,24
21-08-07,20
20-08-07,27
19-08-07,26
18-08-07,18
17-08-07,23
16-08-07,24
15-08-07,27
14-08-07,28
13-08-07,30
12-08-07,19
11-08-07,13
10-08-07,41
09-08-07,36
08-08-07,47
07-08-07,38
06-08-07,31
05-08-07,26
04-08-07,28
03-08-07,37
02-08-07,28
01-08-07,24

