Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-07-12,5.49
30-07-12,5.28
29-07-12,8.78
28-07-12,16.34
27-07-12,22.59
26-07-12,23.18
25-07-12,18.93
24-07-12,10.67
23-07-12,5.93
22-07-12,4.64
21-07-12,5.59
20-07-12,5.77
19-07-12,5.18
18-07-12,6.16
17-07-12,3.66
16-07-12,4.70
15-07-12,3.57
14-07-12,3.96
13-07-12,4.88
12-07-12,3.65
11-07-12,6.15
10-07-12,6.34
09-07-12,4.57
08-07-12,7.29
07-07-12,10.03
06-07-12,10.48
05-07-12,15.66
04-07-12,19.18
03-07-12,13.71
02-07-12,8.28
01-07-12,7.02

