Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-07-12,9.71
30-07-12,9.16
29-07-12,10.51
28-07-12,20.39
27-07-12,28.10
26-07-12,28.75
25-07-12,24.12
24-07-12,12.57
23-07-12,8.79
22-07-12,5.93
21-07-12,7.28
20-07-12,9.71
19-07-12,8.14
18-07-12,10.84
17-07-12,6.04
16-07-12,8.40
15-07-12,4.99
14-07-12,5.71
13-07-12,8.85
12-07-12,7.13
11-07-12,10.12
10-07-12,10.17
09-07-12,8.01
08-07-12,8.41
07-07-12,12.78
06-07-12,15.32
05-07-12,21.33
04-07-12,25.54
03-07-12,21.12
02-07-12,12.65
01-07-12,9.69

