Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-07-12,4.59
30-07-12,4.59
29-07-12,7.73
28-07-12,13.39
27-07-12,24.02
26-07-12,22.57
25-07-12,18.19
24-07-12,12.87
23-07-12,8.44
22-07-12,5.42
21-07-12,7.36
20-07-12,5.35
19-07-12,6.14
18-07-12,6.65
17-07-12,5.20
16-07-12,5.69
15-07-12,3.07
14-07-12,3.33
13-07-12,4.13
12-07-12,3.64
11-07-12,8.67
10-07-12,6.02
09-07-12,4.85
08-07-12,6.51
07-07-12,7.78
06-07-12,7.94
05-07-12,18.35
04-07-12,13.28
03-07-12,13.12
02-07-12,8.98
01-07-12,5.26

