Datum Zeit,Borna PM10
,µg/m³
31-07-12,15
30-07-12,15
29-07-12,18
28-07-12,24
27-07-12,40
26-07-12,41
25-07-12,30
24-07-12,19
23-07-12,16
22-07-12,10
21-07-12,11
20-07-12,18
19-07-12,17
18-07-12,15
17-07-12,11
16-07-12,15
15-07-12,9
14-07-12,11
13-07-12,9
12-07-12,10
11-07-12,17
10-07-12,14
09-07-12,12
08-07-12,18
07-07-12,18
06-07-12,22
05-07-12,26
04-07-12,23
03-07-12,25
02-07-12,22
01-07-12,17

