Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-07-12,7.66
30-07-12,7.53
29-07-12,10.32
28-07-12,19.70
27-07-12,25.91
26-07-12,26.18
25-07-12,20.73
24-07-12,11.71
23-07-12,6.06
22-07-12,5.40
21-07-12,6.88
20-07-12,8.23
19-07-12,7.12
18-07-12,8.59
17-07-12,5.09
16-07-12,6.89
15-07-12,4.57
14-07-12,5.23
13-07-12,5.96
12-07-12,5.69
11-07-12,7.53
10-07-12,7.58
09-07-12,6.43
08-07-12,8.60
07-07-12,11.49
06-07-12,11.51
05-07-12,17.20
04-07-12,19.40
03-07-12,14.91
02-07-12,8.62
01-07-12,9.47

