Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-07-12,6.35
30-07-12,4.63
29-07-12,11.86
28-07-12,11.50
27-07-12,22.45
26-07-12,20.06
25-07-12,16.23
24-07-12,9.67
23-07-12,5.75
22-07-12,4.18
21-07-12,4.65
20-07-12,5.39
19-07-12,5.42
18-07-12,6.25
17-07-12,3.95
16-07-12,5.28
15-07-12,3.80
14-07-12,3.37
13-07-12,3.73
12-07-12,3.11
11-07-12,5.36
10-07-12,6.23
09-07-12,3.84
08-07-12,6.63
07-07-12,7.49
06-07-12,10.81
05-07-12,13.68
04-07-12,12.52
03-07-12,10.44
02-07-12,6.88
01-07-12,6.45

