Datum Zeit,Niesky PM10
,µg/m³
31-07-12,12
30-07-12,13
29-07-12,13
28-07-12,25
27-07-12,31
26-07-12,25
25-07-12,27
24-07-12,20
23-07-12,10
22-07-12,10
21-07-12,12
20-07-12,10
19-07-12,11
18-07-12,11
17-07-12,6
16-07-12,9
15-07-12,7
14-07-12,6
13-07-12,8
12-07-12,7
11-07-12,11
10-07-12,9
09-07-12,9
08-07-12,13
07-07-12,10
06-07-12,14
05-07-12,21
04-07-12,21
03-07-12,14
02-07-12,11
01-07-12,15

