Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-07-12,12.08
30-07-12,10.50
29-07-12,9.61
28-07-12,16.87
27-07-12,29.26
26-07-12,27.18
25-07-12,26.02
24-07-12,41.12
23-07-12,65.65
22-07-12,5.63
21-07-12,7.54
20-07-12,8.88
19-07-12,8.68
18-07-12,11.93
17-07-12,26.11
16-07-12,10.21
15-07-12,4.59
14-07-12,5.71
13-07-12,12.94
12-07-12,6.04
11-07-12,9.73
10-07-12,9.78
09-07-12,9.37
08-07-12,8.88
07-07-12,10.70
06-07-12,14.34
05-07-12,17.16
04-07-12,19.17
03-07-12,25.27
02-07-12,10.49
01-07-12,7.78

