Datum Zeit,Annaberg-Buchholz PM10
,µg/m³
31-05-17,
30-05-17,
29-05-17,13
28-05-17,11
27-05-17,13
26-05-17,15
25-05-17,12
24-05-17,11
23-05-17,12
22-05-17,12
21-05-17,12
20-05-17,7
19-05-17,17
18-05-17,29
17-05-17,100
16-05-17,36
15-05-17,13
14-05-17,7
13-05-17,11
12-05-17,15
11-05-17,15
10-05-17,12
09-05-17,9
08-05-17,16
07-05-17,20
06-05-17,22
05-05-17,17
04-05-17,21
03-05-17,19
02-05-17,11
01-05-17,22

