Datum Zeit,Klingenthal NO2
,µg/m³
01-02-02 00:00,25
31-01-02 23:00,25
31-01-02 22:00,34
31-01-02 21:00,44
31-01-02 20:00,42
31-01-02 19:00,46
31-01-02 18:00,46
31-01-02 17:00,27
31-01-02 16:00,22
31-01-02 15:00,22
31-01-02 14:00,23
31-01-02 13:00,23
31-01-02 12:00,23
31-01-02 11:00,27
31-01-02 10:00,22
31-01-02 09:00,
31-01-02 08:00,15
31-01-02 07:00,20
31-01-02 06:00,18
31-01-02 05:00,15
31-01-02 04:00,14
31-01-02 03:00,16
31-01-02 02:00,18
31-01-02 01:00,18
31-01-02 00:00,21
30-01-02 23:00,21
30-01-02 22:00,23
30-01-02 21:00,22
30-01-02 20:00,31
30-01-02 19:00,28
30-01-02 18:00,32
30-01-02 17:00,24
30-01-02 16:00,22
30-01-02 15:00,18
30-01-02 14:00,15
30-01-02 13:00,13
30-01-02 12:00,16
30-01-02 11:00,31
30-01-02 10:00,32
30-01-02 09:00,
30-01-02 08:00,31
30-01-02 07:00,34
30-01-02 06:00,15
30-01-02 05:00,9
30-01-02 04:00,10
30-01-02 03:00,10
30-01-02 02:00,10
30-01-02 01:00,11
30-01-02 00:00,18
29-01-02 23:00,20
29-01-02 22:00,25
29-01-02 21:00,23
29-01-02 20:00,33
29-01-02 19:00,43
29-01-02 18:00,45
29-01-02 17:00,24
29-01-02 16:00,27
29-01-02 15:00,19
29-01-02 14:00,16
29-01-02 13:00,13
29-01-02 12:00,22
29-01-02 11:00,19
29-01-02 10:00,
29-01-02 09:00,21
29-01-02 08:00,22
29-01-02 07:00,21
29-01-02 06:00,12
29-01-02 05:00,6
29-01-02 04:00,6
29-01-02 03:00,6
29-01-02 02:00,6
29-01-02 01:00,7
29-01-02 00:00,7
28-01-02 23:00,8
28-01-02 22:00,9
28-01-02 21:00,10
28-01-02 20:00,10
28-01-02 19:00,12
28-01-02 18:00,13
28-01-02 17:00,15
28-01-02 16:00,12
28-01-02 15:00,10
28-01-02 14:00,15
28-01-02 13:00,14
28-01-02 12:00,17
28-01-02 11:00,18
28-01-02 10:00,
28-01-02 09:00,12
28-01-02 08:00,11
28-01-02 07:00,11
28-01-02 06:00,10
28-01-02 05:00,8
28-01-02 04:00,9
28-01-02 03:00,14
28-01-02 02:00,14
28-01-02 01:00,18
28-01-02 00:00,14
27-01-02 23:00,14
27-01-02 22:00,17
27-01-02 21:00,16
27-01-02 20:00,46
27-01-02 19:00,40
27-01-02 18:00,24
27-01-02 17:00,18
27-01-02 16:00,15
27-01-02 15:00,13
27-01-02 14:00,11
27-01-02 13:00,9
27-01-02 12:00,9
27-01-02 11:00,
27-01-02 10:00,5
27-01-02 09:00,5
27-01-02 08:00,4
27-01-02 07:00,4
27-01-02 06:00,4
27-01-02 05:00,5
27-01-02 04:00,5
27-01-02 03:00,5
27-01-02 02:00,5
27-01-02 01:00,5
27-01-02 00:00,5
26-01-02 23:00,7
26-01-02 22:00,7
26-01-02 21:00,9
26-01-02 20:00,9
26-01-02 19:00,14
26-01-02 18:00,12
26-01-02 17:00,11
26-01-02 16:00,9
26-01-02 15:00,11
26-01-02 14:00,10
26-01-02 13:00,10
26-01-02 12:00,13
26-01-02 11:00,
26-01-02 10:00,11
26-01-02 09:00,14
26-01-02 08:00,8
26-01-02 07:00,8
26-01-02 06:00,14
26-01-02 05:00,18
26-01-02 04:00,20
26-01-02 03:00,22
