Datum Zeit,Borna NO2
,µg/m³
01-02-02 00:00,29
31-01-02 23:00,34
31-01-02 22:00,45
31-01-02 21:00,63
31-01-02 20:00,69
31-01-02 19:00,72
31-01-02 18:00,80
31-01-02 17:00,48
31-01-02 16:00,32
31-01-02 15:00,34
31-01-02 14:00,
31-01-02 13:00,29
31-01-02 12:00,37
31-01-02 11:00,54
31-01-02 10:00,55
31-01-02 09:00,59
31-01-02 08:00,65
31-01-02 07:00,59
31-01-02 06:00,48
31-01-02 05:00,38
31-01-02 04:00,29
31-01-02 03:00,27
31-01-02 02:00,26
31-01-02 01:00,25
31-01-02 00:00,29
30-01-02 23:00,30
30-01-02 22:00,39
30-01-02 21:00,37
30-01-02 20:00,43
30-01-02 19:00,43
30-01-02 18:00,52
30-01-02 17:00,57
30-01-02 16:00,56
30-01-02 15:00,
30-01-02 14:00,47
30-01-02 13:00,37
30-01-02 12:00,40
30-01-02 11:00,42
30-01-02 10:00,48
30-01-02 09:00,50
30-01-02 08:00,56
30-01-02 07:00,48
30-01-02 06:00,32
30-01-02 05:00,29
30-01-02 04:00,22
30-01-02 03:00,15
30-01-02 02:00,16
30-01-02 01:00,18
30-01-02 00:00,21
29-01-02 23:00,29
29-01-02 22:00,31
29-01-02 21:00,37
29-01-02 20:00,39
29-01-02 19:00,78
29-01-02 18:00,60
29-01-02 17:00,45
29-01-02 16:00,35
29-01-02 15:00,
29-01-02 14:00,39
29-01-02 13:00,37
29-01-02 12:00,59
29-01-02 11:00,49
29-01-02 10:00,59
29-01-02 09:00,63
29-01-02 08:00,67
29-01-02 07:00,57
29-01-02 06:00,26
29-01-02 05:00,16
29-01-02 04:00,12
29-01-02 03:00,9
29-01-02 02:00,9
29-01-02 01:00,9
29-01-02 00:00,10
28-01-02 23:00,12
28-01-02 22:00,12
28-01-02 21:00,12
28-01-02 20:00,17
28-01-02 19:00,19
28-01-02 18:00,24
28-01-02 17:00,26
28-01-02 16:00,
28-01-02 15:00,32
28-01-02 14:00,34
28-01-02 13:00,27
28-01-02 12:00,37
28-01-02 11:00,40
28-01-02 10:00,39
28-01-02 09:00,36
28-01-02 08:00,47
28-01-02 07:00,46
28-01-02 06:00,31
28-01-02 05:00,33
28-01-02 04:00,22
28-01-02 03:00,12
28-01-02 02:00,14
28-01-02 01:00,16
28-01-02 00:00,20
27-01-02 23:00,46
27-01-02 22:00,50
27-01-02 21:00,53
27-01-02 20:00,50
27-01-02 19:00,48
27-01-02 18:00,30
27-01-02 17:00,20
27-01-02 16:00,
27-01-02 15:00,12
27-01-02 14:00,12
27-01-02 13:00,13
27-01-02 12:00,11
27-01-02 11:00,10
27-01-02 10:00,6
27-01-02 09:00,5
27-01-02 08:00,5
27-01-02 07:00,3
27-01-02 06:00,4
27-01-02 05:00,3
27-01-02 04:00,4
27-01-02 03:00,4
27-01-02 02:00,6
27-01-02 01:00,8
27-01-02 00:00,7
26-01-02 23:00,10
26-01-02 22:00,11
26-01-02 21:00,11
26-01-02 20:00,15
26-01-02 19:00,17
26-01-02 18:00,19
26-01-02 17:00,
26-01-02 16:00,22
26-01-02 15:00,20
26-01-02 14:00,21
26-01-02 13:00,20
26-01-02 12:00,24
26-01-02 11:00,23
26-01-02 10:00,25
26-01-02 09:00,20
26-01-02 08:00,17
26-01-02 07:00,16
26-01-02 06:00,10
26-01-02 05:00,12
26-01-02 04:00,14
26-01-02 03:00,16
26-01-02 02:00,20
26-01-02 01:00,23
26-01-02 00:00,24
25-01-02 23:00,29
25-01-02 22:00,38
25-01-02 21:00,52
25-01-02 20:00,58
25-01-02 19:00,64
25-01-02 18:00,67
25-01-02 17:00,
25-01-02 16:00,36
25-01-02 15:00,38
25-01-02 14:00,32
25-01-02 13:00,31
25-01-02 12:00,34
25-01-02 11:00,36
25-01-02 10:00,39
25-01-02 09:00,42
25-01-02 08:00,49
25-01-02 07:00,40
25-01-02 06:00,20
25-01-02 05:00,12
25-01-02 04:00,8
25-01-02 03:00,5
25-01-02 02:00,7
25-01-02 01:00,10
