Datum Zeit,Bautzen SO2
,µg/m³
01-02-02 00:00,2.2
31-01-02 23:00,2.1
31-01-02 22:00,2.3
31-01-02 21:00,3.0
31-01-02 20:00,2.1
31-01-02 19:00,1.7
31-01-02 18:00,1.1
31-01-02 17:00,1.1
31-01-02 16:00,2.0
31-01-02 15:00,2.0
31-01-02 14:00,2.8
31-01-02 13:00,3.2
31-01-02 12:00,4.0
31-01-02 11:00,3.1
31-01-02 10:00,4.3
31-01-02 09:00,9.2
31-01-02 08:00,18.6
31-01-02 07:00,23.0
31-01-02 06:00,22.0
31-01-02 05:00,16.7
31-01-02 04:00,15.2
31-01-02 03:00,16.4
31-01-02 02:00,14.6
31-01-02 01:00,11.9
31-01-02 00:00,12.2
30-01-02 23:00,9.2
30-01-02 22:00,7.9
30-01-02 21:00,5.7
30-01-02 20:00,5.3
30-01-02 19:00,6.4
30-01-02 18:00,16.5
30-01-02 17:00,5.5
30-01-02 16:00,2.5
30-01-02 15:00,1.8
30-01-02 14:00,2.2
30-01-02 13:00,2.7
30-01-02 12:00,2.6
30-01-02 11:00,2.4
30-01-02 10:00,2.4
30-01-02 09:00,3.7
30-01-02 08:00,2.5
30-01-02 07:00,2.4
30-01-02 06:00,2.7
30-01-02 05:00,1.7
30-01-02 04:00,2.1
30-01-02 03:00,1.6
30-01-02 02:00,1.7
30-01-02 01:00,2.0
30-01-02 00:00,1.7
29-01-02 23:00,2.4
29-01-02 22:00,3.3
29-01-02 21:00,2.1
29-01-02 20:00,1.9
29-01-02 19:00,2.0
29-01-02 18:00,2.2
29-01-02 17:00,2.1
29-01-02 16:00,1.6
29-01-02 15:00,2.0
29-01-02 14:00,1.9
29-01-02 13:00,1.3
29-01-02 12:00,1.2
29-01-02 11:00,1.7
29-01-02 10:00,1.5
29-01-02 09:00,2.8
29-01-02 08:00,2.6
29-01-02 07:00,2.1
29-01-02 06:00,1.4
29-01-02 05:00,1.3
29-01-02 04:00,1.1
29-01-02 03:00,1.0
29-01-02 02:00,1.3
29-01-02 01:00,1.4
29-01-02 00:00,1.0
28-01-02 23:00,1.0
28-01-02 22:00,1.0
28-01-02 21:00,1.0
28-01-02 20:00,1.0
28-01-02 19:00,1.0
28-01-02 18:00,1.0
28-01-02 17:00,1.0
28-01-02 16:00,1.0
28-01-02 15:00,1.0
28-01-02 14:00,1.0
28-01-02 13:00,1.0
28-01-02 12:00,1.0
28-01-02 11:00,1.0
28-01-02 10:00,1.0
28-01-02 09:00,1.2
28-01-02 08:00,1.1
28-01-02 07:00,1.0
28-01-02 06:00,1.0
28-01-02 05:00,1.0
28-01-02 04:00,1.3
28-01-02 03:00,2.7
28-01-02 02:00,3.4
28-01-02 01:00,2.1
28-01-02 00:00,2.7
27-01-02 23:00,3.0
27-01-02 22:00,3.2
27-01-02 21:00,3.6
27-01-02 20:00,3.2
27-01-02 19:00,2.9
27-01-02 18:00,3.7
27-01-02 17:00,3.2
27-01-02 16:00,3.4
27-01-02 15:00,3.4
27-01-02 14:00,2.3
27-01-02 13:00,1.8
27-01-02 12:00,2.0
27-01-02 11:00,1.7
27-01-02 10:00,1.5
27-01-02 09:00,2.0
27-01-02 08:00,2.6
27-01-02 07:00,2.2
27-01-02 06:00,1.9
27-01-02 05:00,2.5
27-01-02 04:00,3.2
27-01-02 03:00,4.2
27-01-02 02:00,6.8
27-01-02 01:00,4.8
27-01-02 00:00,2.0
26-01-02 23:00,3.1
26-01-02 22:00,3.1
26-01-02 21:00,8.7
26-01-02 20:00,7.0
26-01-02 19:00,1.5
26-01-02 18:00,2.0
26-01-02 17:00,1.7
26-01-02 16:00,1.6
26-01-02 15:00,1.0
26-01-02 14:00,1.1
26-01-02 13:00,1.1
26-01-02 12:00,1.1
26-01-02 11:00,1.5
26-01-02 10:00,2.4
26-01-02 09:00,6.8
26-01-02 08:00,5.7
26-01-02 07:00,4.2
26-01-02 06:00,3.3
26-01-02 05:00,6.6
26-01-02 04:00,15.0
26-01-02 03:00,22.5
26-01-02 02:00,25.6
26-01-02 01:00,9.7
26-01-02 00:00,3.1
25-01-02 23:00,3.1
25-01-02 22:00,3.9
25-01-02 21:00,4.0
25-01-02 20:00,5.4
25-01-02 19:00,4.0
25-01-02 18:00,2.6
25-01-02 17:00,2.2
