Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-10-01,01:00,,1011,63.6,1,14,53,12,,1,6.9,2.1,164
2018-10-01,02:00,,1011,68.4,1,16,45,12,,1,5.9,1.3,180
2018-10-01,03:00,,1011,71.1,1,21,39,13,,1,5.4,1.6,176
2018-10-01,04:00,,1010,73.1,1,17,43,13,,1,5.0,1.9,183
2018-10-01,05:00,,1010,73.2,1,14,44,12,,1,5.0,1.8,182
2018-10-01,06:00,,1010,73.2,1,18,38,10,,1,5.2,1.3,172
2018-10-01,07:00,,1010,70.9,2,30,26,12,,17,5.7,1.3,220
2018-10-01,08:00,,1011,69.1,6,32,23,15,,89,6.1,2.1,251
2018-10-01,09:00,,1011,65.2,6,24,33,19,,154,7.1,2.0,261
2018-10-01,10:00,,1012,57.6,6,19,42,20,,306,9.4,1.9,266
2018-10-01,11:00,,1012,53.5,4,14,52,19,,353,10.9,2.0,272
2018-10-01,12:00,,1012,59.0,4,15,51,20,,256,11.0,2.3,260
2018-10-01,13:00,,1012,59.8,4,17,51,26,,235,11.2,3.1,285
2018-10-01,14:00,,1012,61.5,3,15,57,26,,239,11.5,3.1,263
2018-10-01,15:00,,1012,65.2,2,10,62,23,,123,10.8,3.8,264
2018-10-01,16:00,,1013,73.8,2,6,62,11,,89,9.5,3.3,286
2018-10-01,17:00,,1013,78.3,2,10,54,7,,34,8.7,2.8,259
2018-10-01,18:00,,1014,84.9,2,13,45,10,,5,7.9,2.8,245
2018-10-01,19:00,,1014,82.4,2,13,43,12,,1,7.8,3.3,242
2018-10-01,20:00,,1015,78.4,2,11,49,8,,1,7.6,3.1,248
2018-10-01,21:00,,1015,80.2,2,9,47,6,,1,7.0,3.2,269
2018-10-01,22:00,,1016,80.3,2,8,48,5,,1,6.9,3.3,280
2018-10-01,23:00,,1016,80.5,1,8,47,4,,1,6.7,3.4,278
2018-10-02,00:00,,1017,79.0,1,7,52,3,,1,6.1,3.5,273
2018-10-02,01:00,,1017,78.9,1,7,54,4,,1,5.5,3.4,271
2018-10-02,02:00,,1017,80.4,1,7,51,4,,1,5.3,3.0,262
2018-10-02,03:00,,1017,81.6,1,6,52,4,,1,5.0,3.0,268
2018-10-02,04:00,,1018,81.3,1,6,52,5,,1,5.0,3.0,260
