Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-10-01,01:00,2.9,1011,74.8,62,59,,33,2.4,0,8.9,0.5,266
2018-10-01,02:00,3.2,1011,79.0,53,50,,33,1.9,0,7.9,1.0,264
2018-10-01,03:00,2.5,1011,77.4,21,49,,29,1.6,0,7.4,1.3,257
2018-10-01,04:00,1.2,1010,73.5,18,41,,23,1.5,0,7.6,1.3,262
2018-10-01,05:00,1.1,1010,77.0,20,42,,22,1.6,0,6.7,1.2,253
2018-10-01,06:00,1.2,1010,76.5,59,58,,22,2.1,0,6.4,1.5,253
2018-10-01,07:00,1.7,1011,74.9,98,68,,26,3.2,17,6.8,1.5,261
2018-10-01,08:00,1.9,1011,69.9,130,72,,35,5.4,82,7.9,1.7,264
2018-10-01,09:00,1.6,1012,66.2,93,61,,33,7.3,121,9.1,1.8,263
2018-10-01,10:00,1.2,1012,66.4,85,54,,34,4.8,205,10.7,2.0,261
2018-10-01,11:00,1.5,1012,67.2,72,49,,34,3.6,232,12.1,2.2,264
2018-10-01,12:00,1.4,1012,68.9,66,46,,29,2.8,184,12.9,2.5,268
2018-10-01,13:00,1.5,1013,83.6,74,53,,22,1.9,106,11.7,1.7,265
2018-10-01,14:00,1.7,1013,80.2,73,53,,17,1.9,127,12.2,1.7,265
2018-10-01,15:00,1.6,1013,74.4,72,50,,16,2.0,92,12.2,1.9,260
2018-10-01,16:00,2.0,1013,69.6,92,67,,17,2.3,107,12.7,2.1,267
2018-10-01,17:00,2.9,1013,65.6,65,53,,18,2.0,80,12.7,2.4,262
2018-10-01,18:00,2.4,1014,66.9,54,43,,14,1.5,12,11.9,2.3,272
2018-10-01,19:00,1.3,1015,68.9,39,37,,15,1.3,0,10.9,1.8,269
2018-10-01,20:00,1.0,1015,71.8,30,28,,11,1.3,0,10.4,1.9,270
2018-10-01,21:00,0.7,1016,74.4,19,22,,11,1.1,0,9.7,1.8,269
2018-10-01,22:00,1.1,1016,70.3,17,19,,9,1.2,0,9.2,1.7,265
