Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-10-01,01:00,,1011,80.2,1,11,36,14,0.5,0,3.6,0.4,178
2018-10-01,02:00,,1010,79.5,1,10,34,12,0.5,0,3.7,0.3,178
2018-10-01,03:00,,1010,80.8,1,15,26,10,0.5,0,3.9,0.3,159
2018-10-01,04:00,,1009,78.1,3,19,21,11,0.5,0,5.5,0.3,171
2018-10-01,05:00,,1009,77.6,23,35,6,12,0.5,0,6.5,0.4,185
2018-10-01,06:00,,1009,75.6,58,43,7,12,1.2,0,7.1,0.3,181
2018-10-01,07:00,,1009,66.0,36,39,26,16,4.8,13,7.6,0.8,178
2018-10-01,08:00,,1010,64.8,14,29,34,16,7.4,45,7.3,0.7,178
2018-10-01,09:00,,1011,64.6,13,27,36,13,5.9,88,7.6,0.6,184
2018-10-01,10:00,,1011,55.2,9,21,47,17,4.2,136,9.5,0.8,21
