Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-10-01,01:00,,1012,80.7,6,49,4,24,,0,5.3,0.0,298
2018-10-01,02:00,,1011,83.3,5,43,3,29,,0,4.8,0.0,277
2018-10-01,03:00,,1011,74.9,1,29,23,24,,0,6.0,0.6,272
2018-10-01,04:00,,1011,69.6,1,19,31,16,,0,6.6,0.4,275
2018-10-01,05:00,,1011,74.4,5,31,17,15,,0,5.4,0.3,281
2018-10-01,06:00,,1011,76.9,4,37,11,16,,0,5.0,0.5,272
2018-10-01,07:00,,1011,72.6,5,37,13,16,,15,5.9,0.6,271
2018-10-01,08:00,,1012,68.4,8,36,16,18,,62,7.0,0.3,261
2018-10-01,09:00,,1012,67.9,12,33,19,20,,96,8.0,0.4,244
2018-10-01,10:00,,1013,67.9,8,27,27,24,,155,9.5,0.6,272
