Datum Zeit,Collmberg PM2.5
,µg/m³
31-12-13,11.32
30-12-13,4.87
29-12-13,2.54
28-12-13,3.35
27-12-13,4.15
26-12-13,11.54
25-12-13,8.84
24-12-13,4.89
23-12-13,2.25
22-12-13,5.70
21-12-13,5.51
20-12-13,12.30
19-12-13,12.38
18-12-13,13.06
17-12-13,7.55
16-12-13,4.10
15-12-13,7.09
14-12-13,8.55
13-12-13,4.65
12-12-13,5.36
11-12-13,1.65
10-12-13,4.34
09-12-13,2.83
08-12-13,4.85
07-12-13,3.45
06-12-13,3.21
05-12-13,7.99
04-12-13,16.52
03-12-13,9.12
02-12-13,3.66
01-12-13,5.84

