Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-12-13,20.13
30-12-13,8.73
29-12-13,4.35
28-12-13,7.58
27-12-13,9.21
26-12-13,16.07
25-12-13,10.38
24-12-13,5.34
23-12-13,6.16
22-12-13,8.32
21-12-13,10.71
20-12-13,18.90
19-12-13,20.47
18-12-13,21.66
17-12-13,19.95
16-12-13,12.84
15-12-13,11.63
14-12-13,16.78
13-12-13,10.96
12-12-13,12.54
11-12-13,13.55
10-12-13,26.62
09-12-13,12.58
08-12-13,12.34
07-12-13,10.80
06-12-13,6.14
05-12-13,13.21
04-12-13,23.56
03-12-13,21.36
02-12-13,14.32
01-12-13,9.83

