Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-12-13,17.00
30-12-13,11.46
29-12-13,3.76
28-12-13,8.08
27-12-13,7.18
26-12-13,16.39
25-12-13,17.31
24-12-13,7.31
23-12-13,6.22
22-12-13,6.21
21-12-13,13.02
20-12-13,17.63
19-12-13,15.87
18-12-13,27.22
17-12-13,20.98
16-12-13,21.92
15-12-13,12.01
14-12-13,11.15
13-12-13,25.41
12-12-13,22.03
11-12-13,19.67
10-12-13,15.02
09-12-13,5.71
08-12-13,6.72
07-12-13,4.02
06-12-13,3.51
05-12-13,7.07
04-12-13,13.85
03-12-13,23.16
02-12-13,14.89
01-12-13,4.73

