Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-12-13,21.48
30-12-13,9.41
29-12-13,7.60
28-12-13,10.73
27-12-13,9.24
26-12-13,20.94
25-12-13,14.48
24-12-13,13.32
23-12-13,6.45
22-12-13,11.53
21-12-13,14.65
20-12-13,29.13
19-12-13,22.24
18-12-13,25.36
17-12-13,24.63
16-12-13,17.55
15-12-13,11.24
14-12-13,14.74
13-12-13,12.58
12-12-13,9.93
11-12-13,18.08
10-12-13,12.74
09-12-13,5.92
08-12-13,8.87
07-12-13,5.42
06-12-13,5.38
05-12-13,12.09
04-12-13,25.55
03-12-13,23.51
02-12-13,15.00
01-12-13,8.21

