Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-12-13,20.93
30-12-13,10.84
29-12-13,7.40
28-12-13,10.74
27-12-13,9.66
26-12-13,20.19
25-12-13,14.47
24-12-13,12.91
23-12-13,8.13
22-12-13,10.76
21-12-13,16.87
20-12-13,27.87
19-12-13,22.44
18-12-13,26.24
17-12-13,25.32
16-12-13,18.24
15-12-13,11.03
14-12-13,14.09
13-12-13,13.67
12-12-13,11.08
11-12-13,20.64
10-12-13,14.44
09-12-13,6.06
08-12-13,8.59
07-12-13,6.06
06-12-13,4.96
05-12-13,11.68
04-12-13,26.03
03-12-13,25.00
02-12-13,16.82
01-12-13,7.36

