Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-12-13,21.70
30-12-13,6.14
29-12-13,3.10
28-12-13,5.09
27-12-13,5.95
26-12-13,16.22
25-12-13,8.75
24-12-13,4.73
23-12-13,3.37
22-12-13,5.61
21-12-13,7.34
20-12-13,14.61
19-12-13,16.58
18-12-13,17.15
17-12-13,13.49
16-12-13,7.03
15-12-13,9.07
14-12-13,12.96
13-12-13,6.16
12-12-13,5.88
11-12-13,8.70
10-12-13,20.66
09-12-13,7.91
08-12-13,8.57
07-12-13,6.00
06-12-13,3.48
05-12-13,8.59
04-12-13,19.12
03-12-13,14.24
02-12-13,9.46
01-12-13,8.73

