Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-12-13,16.93
30-12-13,9.23
29-12-13,4.73
28-12-13,6.15
27-12-13,7.45
26-12-13,19.09
25-12-13,12.62
24-12-13,6.63
23-12-13,6.34
22-12-13,6.89
21-12-13,8.86
20-12-13,19.38
19-12-13,17.01
18-12-13,24.34
17-12-13,18.90
16-12-13,14.83
15-12-13,8.43
14-12-13,12.68
13-12-13,15.87
12-12-13,22.24
11-12-13,13.94
10-12-13,13.86
09-12-13,5.82
08-12-13,9.46
07-12-13,5.16
06-12-13,4.69
05-12-13,11.10
04-12-13,20.48
03-12-13,25.29
02-12-13,13.18
01-12-13,7.21

