Datum Zeit,Schwartenberg PM10_HVS
,µg/m³
31-10-18,
30-10-18,
29-10-18,
28-10-18,
27-10-18,
26-10-18,
25-10-18,
24-10-18,
23-10-18,
22-10-18,
21-10-18,
20-10-18,
19-10-18,
18-10-18,54.02
17-10-18,46.02
16-10-18,35.63
15-10-18,29.53
14-10-18,28.79
13-10-18,36.50
12-10-18,29.26
11-10-18,31.82
10-10-18,31.75
09-10-18,24.89
08-10-18,15.63
07-10-18,14.39
06-10-18,25.67
05-10-18,21.06
04-10-18,11.87
03-10-18,8.79
02-10-18,2.00
01-10-18,12.61

