Datum Zeit,Leipzig-Luetzner Straße PM10_HVS
,µg/m³
31-10-18,
30-10-18,
29-10-18,
28-10-18,
27-10-18,
26-10-18,
25-10-18,
24-10-18,
23-10-18,
22-10-18,
21-10-18,
20-10-18,
19-10-18,
18-10-18,54.69
17-10-18,64.39
16-10-18,54.94
15-10-18,41.65
14-10-18,41.05
13-10-18,35.85
12-10-18,46.39
11-10-18,48.21
10-10-18,45.97
09-10-18,51.52
08-10-18,38.33
07-10-18,19.94
06-10-18,30.14
05-10-18,31.58
04-10-18,26.17
03-10-18,14.47
02-10-18,12.17
01-10-18,18.74

