Datum Zeit,Leipzig-West PM10_HVS
,µg/m³
31-10-18,
30-10-18,
29-10-18,
28-10-18,
27-10-18,
26-10-18,
25-10-18,
24-10-18,
23-10-18,
22-10-18,
21-10-18,
20-10-18,
19-10-18,
18-10-18,42.15
17-10-18,48.44
16-10-18,46.06
15-10-18,31.14
14-10-18,
13-10-18,26.43
12-10-18,29.89
11-10-18,29.09
10-10-18,29.96
09-10-18,30.34
08-10-18,
07-10-18,13.88
06-10-18,21.01
05-10-18,17.70
04-10-18,14.21
03-10-18,11.16
02-10-18,6.05
01-10-18,12.82

