Datum Zeit,Chemnitz-Leipziger Str. PM10_HVS
,µg/m³
31-10-18,
30-10-18,
29-10-18,
28-10-18,
27-10-18,
26-10-18,
25-10-18,
24-10-18,
23-10-18,
22-10-18,
21-10-18,
20-10-18,
19-10-18,
18-10-18,59.31
17-10-18,52.16
16-10-18,40.54
15-10-18,32.02
14-10-18,29.88
13-10-18,33.50
12-10-18,33.96
11-10-18,34.48
10-10-18,33.88
09-10-18,31.78
08-10-18,20.17
07-10-18,18.97
06-10-18,22.35
05-10-18,22.32
04-10-18,17.93
03-10-18,11.87
02-10-18,10.73
01-10-18,19.11

