Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-12-14,61.25
30-12-14,19.49
29-12-14,14.91
28-12-14,28.73
27-12-14,13.98
26-12-14,6.08
25-12-14,3.88
24-12-14,3.28
23-12-14,3.12
22-12-14,3.49
21-12-14,6.49
20-12-14,4.29
19-12-14,3.60
18-12-14,6.31
17-12-14,9.68
16-12-14,10.06
15-12-14,13.28
14-12-14,10.91
13-12-14,6.91
12-12-14,5.90
11-12-14,7.16
10-12-14,17.57
09-12-14,21.54
08-12-14,11.80
07-12-14,21.39
06-12-14,31.12
05-12-14,30.88
04-12-14,29.52
03-12-14,48.88
02-12-14,33.65
01-12-14,32.56

