Datum Zeit,Leipzig-Mitte PM10
,µg/m³
31-12-14,31
30-12-14,24
29-12-14,23
28-12-14,28
27-12-14,19
26-12-14,12
25-12-14,12
24-12-14,7
23-12-14,8
22-12-14,9
21-12-14,14
20-12-14,11
19-12-14,8
18-12-14,14
17-12-14,19
16-12-14,23
15-12-14,22
14-12-14,17
13-12-14,11
12-12-14,15
11-12-14,17
10-12-14,17
09-12-14,38
08-12-14,24
07-12-14,35
06-12-14,41
05-12-14,87
04-12-14,84
03-12-14,71
02-12-14,44
01-12-14,34

