Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-12-14,24.34
30-12-14,16.98
29-12-14,19.95
28-12-14,22.59
27-12-14,13.69
26-12-14,7.46
25-12-14,4.98
24-12-14,3.96
23-12-14,3.95
22-12-14,3.54
21-12-14,8.36
20-12-14,5.38
19-12-14,5.18
18-12-14,6.79
17-12-14,11.34
16-12-14,11.37
15-12-14,11.33
14-12-14,12.78
13-12-14,6.06
12-12-14,5.96
11-12-14,7.20
10-12-14,14.89
09-12-14,21.59
08-12-14,11.89
07-12-14,23.72
06-12-14,29.50
05-12-14,67.31
04-12-14,70.58
03-12-14,45.15
02-12-14,31.27
01-12-14,26.21

