Datum Zeit,Plauen-Sued PM10
,µg/m³
31-12-14,21
30-12-14,19
29-12-14,18
28-12-14,34
27-12-14,16
26-12-14,9
25-12-14,7
24-12-14,5
23-12-14,4
22-12-14,9
21-12-14,10
20-12-14,11
19-12-14,4
18-12-14,5
17-12-14,12
16-12-14,12
15-12-14,12
14-12-14,14
13-12-14,9
12-12-14,6
11-12-14,6
10-12-14,16
09-12-14,20
08-12-14,23
07-12-14,22
06-12-14,24
05-12-14,46
04-12-14,89
03-12-14,64
02-12-14,51
01-12-14,53

