Datum Zeit,Collmberg PM2.5
,µg/m³
31-12-14,6.68
30-12-14,8.83
29-12-14,11.38
28-12-14,21.50
27-12-14,11.80
26-12-14,2.66
25-12-14,3.41
24-12-14,2.11
23-12-14,1.95
22-12-14,1.75
21-12-14,5.19
20-12-14,3.26
19-12-14,2.16
18-12-14,2.73
17-12-14,6.09
16-12-14,5.15
15-12-14,3.95
14-12-14,2.34
13-12-14,2.04
12-12-14,2.38
11-12-14,3.89
10-12-14,9.45
09-12-14,13.80
08-12-14,5.91
07-12-14,8.97
06-12-14,19.78
05-12-14,40.73
04-12-14,48.03
03-12-14,45.70
02-12-14,28.62
01-12-14,25.43

