Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-12-14,19.38
30-12-14,11.77
29-12-14,14.18
28-12-14,20.01
27-12-14,11.05
26-12-14,6.62
25-12-14,4.40
24-12-14,2.81
23-12-14,1.68
22-12-14,2.59
21-12-14,5.88
20-12-14,4.03
19-12-14,2.44
18-12-14,3.07
17-12-14,8.28
16-12-14,6.69
15-12-14,6.57
14-12-14,9.45
13-12-14,3.10
12-12-14,2.79
11-12-14,4.52
10-12-14,11.55
09-12-14,17.18
08-12-14,8.25
07-12-14,19.34
06-12-14,24.31
05-12-14,60.24
04-12-14,68.76
03-12-14,46.11
02-12-14,30.20
01-12-14,25.73

