Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-12-14,47.13
30-12-14,20.65
29-12-14,14.59
28-12-14,29.24
27-12-14,14.15
26-12-14,6.13
25-12-14,4.15
24-12-14,3.55
23-12-14,3.75
22-12-14,4.04
21-12-14,6.69
20-12-14,5.33
19-12-14,4.84
18-12-14,6.52
17-12-14,10.30
16-12-14,9.22
15-12-14,10.77
14-12-14,12.51
13-12-14,11.58
12-12-14,6.11
11-12-14,8.27
10-12-14,19.03
09-12-14,24.24
08-12-14,
07-12-14,
06-12-14,
05-12-14,34.07
04-12-14,30.61
03-12-14,50.04
02-12-14,35.32
01-12-14,32.67

