Datum Zeit,Klingenthal PM10
,µg/m³
31-12-14,18
30-12-14,21
29-12-14,13
28-12-14,23
27-12-14,19
26-12-14,16
25-12-14,8
24-12-14,7
23-12-14,5
22-12-14,6
21-12-14,9
20-12-14,7
19-12-14,4
18-12-14,7
17-12-14,10
16-12-14,9
15-12-14,12
14-12-14,10
13-12-14,7
12-12-14,5
11-12-14,7
10-12-14,17
09-12-14,20
08-12-14,16
07-12-14,11
06-12-14,12
05-12-14,
04-12-14,
03-12-14,24
02-12-14,16
01-12-14,12

