Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-12-14,23.48
30-12-14,16.09
29-12-14,13.57
28-12-14,29.99
27-12-14,11.32
26-12-14,11.19
25-12-14,4.11
24-12-14,4.21
23-12-14,3.92
22-12-14,3.37
21-12-14,6.58
20-12-14,4.02
19-12-14,3.55
18-12-14,5.30
17-12-14,10.36
16-12-14,9.42
15-12-14,13.63
14-12-14,10.74
13-12-14,7.36
12-12-14,4.12
11-12-14,7.05
10-12-14,13.12
09-12-14,23.89
08-12-14,12.64
07-12-14,19.78
06-12-14,26.51
05-12-14,41.54
04-12-14,43.08
03-12-14,49.95
02-12-14,36.85
01-12-14,34.00

