Datum Zeit,Dresden-Winckelmannstr. PM10
,µg/m³
31-12-14,62
30-12-14,24
29-12-14,17
28-12-14,
27-12-14,17
26-12-14,7
25-12-14,7
24-12-14,4
23-12-14,3
22-12-14,4
21-12-14,9
20-12-14,7
19-12-14,4
18-12-14,4
17-12-14,10
16-12-14,7
15-12-14,11
14-12-14,14
13-12-14,8
12-12-14,4
11-12-14,6
10-12-14,20
09-12-14,28
08-12-14,14
07-12-14,25
06-12-14,36
05-12-14,39
04-12-14,36
03-12-14,
02-12-14,44
01-12-14,42

