Datum Zeit,Chemnitz-Leipziger Str. PM10
,µg/m³
28-02-13,41
27-02-13,16
26-02-13,42
25-02-13,48
24-02-13,48
23-02-13,41
22-02-13,45
21-02-13,22
20-02-13,11
19-02-13,27
18-02-13,49
17-02-13,56
16-02-13,71
15-02-13,56
14-02-13,51
13-02-13,60
12-02-13,56
11-02-13,38
10-02-13,25
09-02-13,31
08-02-13,26
07-02-13,24
06-02-13,24
05-02-13,14
04-02-13,7
03-02-13,14
02-02-13,10
01-02-13,19

