Datum Zeit,Brockau PM10
,µg/m³
28-02-13,17
27-02-13,9
26-02-13,18
25-02-13,20
24-02-13,26
23-02-13,28
22-02-13,35
21-02-13,14
20-02-13,8
19-02-13,16
18-02-13,34
17-02-13,33
16-02-13,54
15-02-13,44
14-02-13,52
13-02-13,43
12-02-13,44
11-02-13,27
10-02-13,22
09-02-13,17
08-02-13,10
07-02-13,10
06-02-13,7
05-02-13,8
04-02-13,3
03-02-13,6
02-02-13,5
01-02-13,9

