Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-04-10,17.37
29-04-10,21.80
28-04-10,18.31
27-04-10,18.55
26-04-10,26.15
25-04-10,24.86
24-04-10,21.08
23-04-10,18.52
22-04-10,14.18
21-04-10,16.38
20-04-10,25.10
19-04-10,28.59
18-04-10,18.09
17-04-10,20.79
16-04-10,22.70
15-04-10,20.60
14-04-10,29.20
13-04-10,28.77
12-04-10,26.92
11-04-10,7.72
10-04-10,8.97
09-04-10,21.92
08-04-10,25.73
07-04-10,14.44
06-04-10,15.79
05-04-10,17.24
04-04-10,11.49
03-04-10,18.27
02-04-10,14.40
01-04-10,10.76

