Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-04-10,46.82
29-04-10,32.32
28-04-10,24.60
27-04-10,20.39
26-04-10,27.12
25-04-10,27.41
24-04-10,29.47
23-04-10,27.13
22-04-10,17.15
21-04-10,22.40
20-04-10,38.61
19-04-10,40.08
18-04-10,23.69
17-04-10,24.21
16-04-10,29.27
15-04-10,18.64
14-04-10,29.35
13-04-10,29.59
12-04-10,23.94
11-04-10,6.64
10-04-10,11.18
09-04-10,21.75
08-04-10,31.23
07-04-10,23.36
06-04-10,22.03
05-04-10,15.45
04-04-10,9.17
03-04-10,14.91
02-04-10,12.31
01-04-10,16.42

