Datum Zeit,Collmberg PM2.5
,µg/m³
30-04-10,10.96
29-04-10,10.66
28-04-10,14.17
27-04-10,12.27
26-04-10,19.35
25-04-10,20.86
24-04-10,20.96
23-04-10,16.28
22-04-10,8.00
21-04-10,8.13
20-04-10,20.43
19-04-10,23.68
18-04-10,15.17
17-04-10,12.56
16-04-10,14.86
15-04-10,8.71
14-04-10,21.44
13-04-10,26.08
12-04-10,24.23
11-04-10,7.63
10-04-10,4.20
09-04-10,13.59
08-04-10,24.52
07-04-10,14.09
06-04-10,15.39
05-04-10,13.08
04-04-10,7.41
03-04-10,14.13
02-04-10,11.44
01-04-10,5.84

