Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-04-10,13.98
29-04-10,15.70
28-04-10,14.31
27-04-10,13.85
26-04-10,20.81
25-04-10,22.34
24-04-10,21.66
23-04-10,17.68
22-04-10,10.88
21-04-10,10.71
20-04-10,22.34
19-04-10,25.13
18-04-10,18.59
17-04-10,19.47
16-04-10,19.77
15-04-10,17.87
14-04-10,28.20
13-04-10,27.72
12-04-10,25.33
11-04-10,6.71
10-04-10,6.69
09-04-10,16.96
08-04-10,21.94
07-04-10,12.95
06-04-10,17.38
05-04-10,16.42
04-04-10,11.13
03-04-10,21.95
02-04-10,14.42
01-04-10,6.83

