Datum Zeit,Leipzig-West PM2.5
,µg/m³
30-04-10,11.96
29-04-10,13.48
28-04-10,16.10
27-04-10,13.67
26-04-10,19.32
25-04-10,19.12
24-04-10,23.79
23-04-10,19.47
22-04-10,10.27
21-04-10,5.50
20-04-10,16.38
19-04-10,21.72
18-04-10,17.98
17-04-10,11.52
16-04-10,11.17
15-04-10,8.13
14-04-10,
13-04-10,26.55
12-04-10,24.97
11-04-10,6.62
10-04-10,5.97
09-04-10,11.31
08-04-10,23.49
07-04-10,15.95
06-04-10,16.35
05-04-10,15.64
04-04-10,6.36
03-04-10,10.98
02-04-10,10.82
01-04-10,6.48

