Datum Zeit,Radebeul-Wahnsdorf PM10
,µg/m³
31-08-06,11
30-08-06,11
29-08-06,6
28-08-06,9
27-08-06,16
26-08-06,14
25-08-06,9
24-08-06,16
23-08-06,10
22-08-06,9
21-08-06,11
20-08-06,8
19-08-06,11
18-08-06,19
17-08-06,20
16-08-06,16
15-08-06,12
14-08-06,8
13-08-06,13
12-08-06,14
11-08-06,14
10-08-06,17
09-08-06,14
08-08-06,14
07-08-06,14
06-08-06,14
05-08-06,13
04-08-06,16
03-08-06,
02-08-06,11
01-08-06,16

