Datum Zeit,Borna NO2
,µg/m³
01-09-06 00:00,24
31-08-06 23:00,27
31-08-06 22:00,41
31-08-06 21:00,61
31-08-06 20:00,79
31-08-06 19:00,72
31-08-06 18:00,67
31-08-06 17:00,59
31-08-06 16:00,52
31-08-06 15:00,50
31-08-06 14:00,45
31-08-06 13:00,51
31-08-06 12:00,45
31-08-06 11:00,41
31-08-06 10:00,41
31-08-06 09:00,44
31-08-06 08:00,44
31-08-06 07:00,45
31-08-06 06:00,36
31-08-06 05:00,21
31-08-06 04:00,14
31-08-06 03:00,13
31-08-06 02:00,10
31-08-06 01:00,10
31-08-06 00:00,12
30-08-06 23:00,14
30-08-06 22:00,19
30-08-06 21:00,25
30-08-06 20:00,27
30-08-06 19:00,38
30-08-06 18:00,69
30-08-06 17:00,41
30-08-06 16:00,42
30-08-06 15:00,45
30-08-06 14:00,41
30-08-06 13:00,36
30-08-06 12:00,41
30-08-06 11:00,40
30-08-06 10:00,43
30-08-06 09:00,48
30-08-06 08:00,44
30-08-06 07:00,50
30-08-06 06:00,51
30-08-06 05:00,31
30-08-06 04:00,23
30-08-06 03:00,27
30-08-06 02:00,19
30-08-06 01:00,20
30-08-06 00:00,21
29-08-06 23:00,25
29-08-06 22:00,36
29-08-06 21:00,46
29-08-06 20:00,39
29-08-06 19:00,37
29-08-06 18:00,51
29-08-06 17:00,53
29-08-06 16:00,57
29-08-06 15:00,52
29-08-06 14:00,32
29-08-06 13:00,64
29-08-06 12:00,44
29-08-06 11:00,53
29-08-06 10:00,48
29-08-06 09:00,50
29-08-06 08:00,46
29-08-06 07:00,43
29-08-06 06:00,44
29-08-06 05:00,27
29-08-06 04:00,20
29-08-06 03:00,14
29-08-06 02:00,11
29-08-06 01:00,12
29-08-06 00:00,16
28-08-06 23:00,18
28-08-06 22:00,28
28-08-06 21:00,37
28-08-06 20:00,45
28-08-06 19:00,58
28-08-06 18:00,61
28-08-06 17:00,61
28-08-06 16:00,63
28-08-06 15:00,61
28-08-06 14:00,54
28-08-06 13:00,49
28-08-06 12:00,51
28-08-06 11:00,65
28-08-06 10:00,68
28-08-06 09:00,59
28-08-06 08:00,76
28-08-06 07:00,74
28-08-06 06:00,75
28-08-06 05:00,51
28-08-06 04:00,40
28-08-06 03:00,36
28-08-06 02:00,26
28-08-06 01:00,18
28-08-06 00:00,17
27-08-06 23:00,23
27-08-06 22:00,27
27-08-06 21:00,35
27-08-06 20:00,47
27-08-06 19:00,39
27-08-06 18:00,16
27-08-06 17:00,47
