Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-08-16,8.77
30-08-16,4.41
29-08-16,10.26
28-08-16,16.98
27-08-16,15.76
26-08-16,13.20
25-08-16,12.79
24-08-16,9.60
23-08-16,7.73
22-08-16,6.90
21-08-16,4.01
20-08-16,9.44
19-08-16,15.99
18-08-16,12.55
17-08-16,7.34
16-08-16,7.53
15-08-16,8.50
14-08-16,9.70
13-08-16,8.44
12-08-16,7.85
11-08-16,7.71
10-08-16,5.21
09-08-16,8.10
08-08-16,11.14
07-08-16,8.24
06-08-16,8.20
05-08-16,7.59
04-08-16,8.69
03-08-16,6.42
02-08-16,7.56
01-08-16,6.52

