Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-08-16,6.83
30-08-16,4.50
29-08-16,7.58
28-08-16,15.79
27-08-16,12.23
26-08-16,10.71
25-08-16,10.21
24-08-16,7.33
23-08-16,7.22
22-08-16,5.90
21-08-16,4.80
20-08-16,12.40
19-08-16,11.73
18-08-16,9.39
17-08-16,7.16
16-08-16,6.81
15-08-16,7.31
14-08-16,11.10
13-08-16,7.84
12-08-16,5.33
11-08-16,5.11
10-08-16,3.26
09-08-16,9.23
08-08-16,7.62
07-08-16,8.46
06-08-16,7.93
05-08-16,7.76
04-08-16,
03-08-16,5.32
02-08-16,6.68
01-08-16,6.61

