Datum Zeit,Zittau-Ost PM2.5
,µg/m³
31-08-16,
30-08-16,
29-08-16,
28-08-16,
27-08-16,
26-08-16,
25-08-16,
24-08-16,
23-08-16,
22-08-16,
21-08-16,
20-08-16,
19-08-16,
18-08-16,
17-08-16,
16-08-16,
15-08-16,
14-08-16,
13-08-16,
12-08-16,
11-08-16,
10-08-16,
09-08-16,
08-08-16,
07-08-16,
06-08-16,
05-08-16,
04-08-16,
03-08-16,
02-08-16,
01-08-16,

