Datum Zeit,Collmberg PM2.5
,µg/m³
31-08-16,5.61
30-08-16,3.11
29-08-16,5.69
28-08-16,10.55
27-08-16,12.78
26-08-16,8.62
25-08-16,8.59
24-08-16,5.78
23-08-16,4.44
22-08-16,3.86
21-08-16,2.94
20-08-16,5.91
19-08-16,8.86
18-08-16,5.97
17-08-16,3.53
16-08-16,4.39
15-08-16,3.88
14-08-16,6.04
13-08-16,4.72
12-08-16,2.33
11-08-16,2.82
10-08-16,0.50
09-08-16,4.28
08-08-16,5.79
07-08-16,5.91
06-08-16,4.94
05-08-16,4.50
04-08-16,3.93
03-08-16,2.18
02-08-16,4.69
01-08-16,4.08

