Datum Zeit,Annaberg-Buchholz PM10
,µg/m³
31-08-16,12
30-08-16,9
29-08-16,11
28-08-16,13
27-08-16,17
26-08-16,15
25-08-16,15
24-08-16,15
23-08-16,10
22-08-16,7
21-08-16,6
20-08-16,12
19-08-16,15
18-08-16,13
17-08-16,11
16-08-16,10
15-08-16,12
14-08-16,12
13-08-16,11
12-08-16,5
11-08-16,8
10-08-16,9
09-08-16,15
08-08-16,12
07-08-16,10
06-08-16,11
05-08-16,8
04-08-16,12
03-08-16,5
02-08-16,7
01-08-16,8

