Datum Zeit,Freiberg PM2.5
,µg/m³
31-08-16,15.74
30-08-16,10.51
29-08-16,12.98
28-08-16,17.57
27-08-16,24.68
26-08-16,23.62
25-08-16,26.31
24-08-16,13.91
23-08-16,14.39
22-08-16,
21-08-16,6.38
20-08-16,12.40
19-08-16,19.99
18-08-16,16.41
17-08-16,11.56
16-08-16,13.59
15-08-16,13.19
14-08-16,14.70
13-08-16,11.71
12-08-16,8.99
11-08-16,9.09
10-08-16,8.72
09-08-16,17.29
08-08-16,18.47
07-08-16,12.59
06-08-16,11.59
05-08-16,10.51
04-08-16,15.77
03-08-16,6.64
02-08-16,10.00
01-08-16,10.76

