Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-08-16,6.65
30-08-16,4.42
29-08-16,6.41
28-08-16,15.46
27-08-16,13.11
26-08-16,11.08
25-08-16,9.99
24-08-16,7.33
23-08-16,6.70
22-08-16,4.51
21-08-16,4.21
20-08-16,11.07
19-08-16,11.41
18-08-16,9.20
17-08-16,6.93
16-08-16,5.44
15-08-16,6.42
14-08-16,8.71
13-08-16,6.50
12-08-16,3.58
11-08-16,4.03
10-08-16,3.47
09-08-16,7.64
08-08-16,6.28
07-08-16,7.71
06-08-16,7.78
05-08-16,6.19
04-08-16,6.70
03-08-16,3.73
02-08-16,6.45
01-08-16,5.79

