Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-08-16,7.44
30-08-16,4.10
29-08-16,5.60
28-08-16,11.61
27-08-16,14.59
26-08-16,10.92
25-08-16,10.15
24-08-16,6.48
23-08-16,5.34
22-08-16,4.15
21-08-16,3.26
20-08-16,6.89
19-08-16,10.92
18-08-16,6.27
17-08-16,4.78
16-08-16,5.27
15-08-16,3.95
14-08-16,7.09
13-08-16,6.72
12-08-16,3.56
11-08-16,3.71
10-08-16,3.35
09-08-16,4.86
08-08-16,7.07
07-08-16,6.81
06-08-16,4.92
05-08-16,5.40
04-08-16,4.68
03-08-16,2.22
02-08-16,5.67
01-08-16,4.91

