Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-08-16,8.88
30-08-16,5.68
29-08-16,7.60
28-08-16,14.86
27-08-16,16.96
26-08-16,12.52
25-08-16,11.90
24-08-16,7.67
23-08-16,7.88
22-08-16,4.92
21-08-16,3.30
20-08-16,9.76
19-08-16,15.00
18-08-16,9.64
17-08-16,6.54
16-08-16,6.98
15-08-16,5.61
14-08-16,8.60
13-08-16,8.47
12-08-16,6.39
11-08-16,5.69
10-08-16,5.37
09-08-16,7.82
08-08-16,8.59
07-08-16,7.94
06-08-16,7.98
05-08-16,8.99
04-08-16,7.85
03-08-16,5.29
02-08-16,8.07
01-08-16,7.24

